2017 다모아 빅데이터 기관정보 (대전),,,,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고,,
265,대전광역시 중구,공공,학교,대전보운초등학교,대전광역시 중구 대종로315번길 42,042-253-8038,http://bounes.djsch.kr/main.do,,,,
266,대전광역시 서구,공공,학교,대전복수고등학교,대전광역시 서구 혜천로 66,042-580-1116,http://boksuhs.djsch.kr/main.do,,도메인주소 같음,,
267,대전광역시 서구,공공,학교,대전복수초등학교,대전광역시 서구 복수중로34번길 29,042-580-3100,http://boksues.djsch.kr/main.do,,,,
268,대전광역시 서구,민간,문화센터,대전복수풀잎문화센터,대전광역시 서구 복수동로88번길 43,042-581-5579,http://seogu.pulib.com/,,,,
269,대전광역시 유성구,공공,학교,대전봉명중학교,대전광역시 유성구 계룡로132번길 71,042-826-6875,http://djbmms.djsch.kr/main.do,,도메인주소 같음,,
270,대전광역시 유성구,공공,학교,대전봉명초등학교, 대전광역시 유성구 계룡로 132번길 62,042-820-8880,http://djbmes.djsch.kr/main.do,,,,
271,대전광역시 서구,공공,학교,대전봉산중학교,대전광역시 서구 배재로262번길 60,042-524-4584,http://djbsms.djsch.kr/main.do,,,,
272,대전광역시 서구,공공,학교,대전봉산초등학교,대전광역시 서구 신갈마로141번길 45,042-523-0101,http://bongsanes.djsch.kr/main.do,,,,
273,대전광역시 서구,공공,학교,대전봉우중학교,대전광역시 서구 관저로 102,042-543-7325,http://bongwooms.djsch.kr/main.do,,,,
274,대전광역시 동구,민간,직업훈련시설,대전부사관장교전문학원,대전광역시 동구 홍도로 1 한국빌딩 4층,"042-622-6953
010-9623-3237",http://www.xn--zb0bzft5nhtm9zdisisycw3bkya994aihy.kr/,,,,
275,대전광역시 대덕구,공공,학교,대전비래초등학교,대전광역시 대덕구 우암로492번길 65,042-639-6242,http://biraees.djsch.kr/main.do,,,,
276,대전광역시 서구,민간,기타,대전사진학원,대전광역시 서구 동서대로 1002 5층,042-528-8556,http://djpa.co.kr/,,,,
277,대전광역시 중구,공공,학교,대전산성초등학교,대전광역시 중구 대둔산로 332,042-581-0662,http://sanseonges.djsch.kr/main.do,,,,
278,대전광역시 서구,공공,학교,대전산업정보학교,대전광역시 서구 괴정로 191,042-250-0099,http://dpsc.djsch.kr/main.do,,변경 후-대전산업정보고등학교,,
279,대전광역시 동구,공공,학교,대전삼성초등학교,대전광역시 동구 대전로867번길 12,042-622-6426,http://3stares.djsch.kr/main.do,,,,
280,대전광역시 서구,공공,학교,대전삼육중학교,대전광역시 서구 도림1길 15,042-522-0035,http://djsahmyookms.djsch.kr/main.do,,,,
281,대전광역시 서구,공공,학교,대전삼육초등학교,대전광역시 서구 도림1길 15,042-537-3674,http://dj36es.djsch.kr/main.do,,,,
282,대전광역시 서구,공공,학교,대전삼천중학교,대전광역시 서구 문정로 271,042-483-6733,http://samchunms.djsch.kr/main.do,,도메인주소 같음,,
283,대전광역시 서구,공공,학교,대전삼천초등학교,대전광역시 서구 둔산북로 232-33,042-486-0750,http://samcheones.djsch.kr/main.do,,,,
284,대전광역시 유성구,공공,학교,대전상대초등학교,대전광역시 유성구 월드컵대로 322,042-823-2442,http://djsdes.djsch.kr/main.do,,,,
285,대전광역시 유성구,공공,학교,대전상원초등학교,대전광역시 유성구 상대서로 46,042-824-8545,http://sangwones.djsch.kr/main.do,,,,
286,대전광역시 유성구,공공,학교,대전상지초등학교,대전광역시 유성구 노은동로 165,042-477-5985,http://djsangjies.djsch.kr/main.do,,,,
287,대전광역시 서구,공공,학교,대전샘머리초등학교,대전광역시 서구 유등로 879,042-488-8451,http://sammeories.djsch.kr/main.do,,,,
288,대전광역시 서구,공공,다문화,대전서구다문화가족지원센터,대전광역시 서구 배재로 155-40 우남관 103-1호,042-520-5928,http://daejeonseogu.liveinkorea.kr/,,,,
289,대전광역시 서구,공공,문화예술,대전서구문화원,대전광역시 서구 계룡로553번길 38,042-488-5474,http://www.sgcc.or.kr/,,,,
290,대전광역시 서구,공공,학교,대전서부초등학교,대전광역시 서구 동서대로 968,042-535-1201,http://djseobues.djsch.kr/main.do,,,,
291,대전광역시 서구,민간,교육산업,대전서비스교육센터,대전광역시 서구 계룡로 613 연세빌딩 3층,042-535-3115,http://www.tjcs.co.kr/,,,,
292,대전광역시 서구,공공,학교,대전서원초등학교,대전광역시 서구 문정로 279,042-488-0975,http://dswes.djsch.kr/main.do,,,,
293,대전광역시 서구,공공,학교,대전서중학교,대전광역시 서구 동서대로997번길 57,042-522-4601,http://westms.djsch.kr/main.do,,,,
294,대전광역시 중구,공공,학교,대전석교초등학교,대전광역시 중구 대종로204번길 12,042-271-6101,http://seokgyoes.djsch.kr/main.do,,,,
295,대전광역시 대덕구,공공,학교,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20,042-630-0400,http://seokbonges.djsch.kr/main.do,,,,
296,대전광역시 유성구,공공,박물관 및 미술관,대전선사박물관,대전광역시 유성구 노은동로 126,042-270-8640~8,http://www.daejeon.go.kr/pre/index.do,,,,
297,대전광역시 서구,공공,학교,대전선암초등학교,대전광역시 서구 관저중로 61,042-542-2224,http://djsaes.djsch.kr/main.do,,,,
298,대전광역시 중구,공공,학교,대전선화초등학교,대전광역시 중구 선화로 159,042-257-7507,http://seonhwaes.djsch.kr/main.do,,,자료없음,
299,대전광역시 서구,민간,직업훈련시설,대전성광직업전문학교,대전광역시 서구 문정로 64 솔림빌딩 7층,"042-487-9009
042-253-2929",http://www.sungkwangit.or.kr/,,,,
300,대전광역시 동구,공공,학교,대전성남초등학교,대전광역시 동구 성남로32번길 5,042-625-0052,http://seongnames.djsch.kr/main.do,,,자료없음,
301,대전광역시 서구,공공,학교,대전성룡초등학교,대전광역시 서구 갈마역로 125,"042-483-6865
042-485-4426",http://songryonges.djsch.kr/main.do,,,자료,
302,대전광역시 서구,민간,직업훈련시설,대전성모간호보건학원,대전광역시 서구 도산로 196,042-535-8765,http://www.tj-sungmo.co.kr/,,,,
303,대전광역시 중구,공공,학교,대전성모여자고등학교,대전광역시 중구 대흥로 62,042-220-7800,http://seongmohs.djsch.kr/main.do,,도메인주소 같음,자료없음,
304,대전광역시 중구,공공,학교,대전성모초등학교,대전광역시 중구 대흥로 62,042-255-6146,http://seongmoes.djsch.kr/main.do,,,자료없음,
305,대전광역시 유성구,공공,학교,대전성세재활학교,대전광역시 유성구 유성대로298번길 175,042-540-3400,http://sungsesc.djsch.kr/main.do,,,자료없음,
306,대전광역시 서구,공공,학교,대전성천초등학교,대전광역시 서구 갈마역로 139,042-483-5026,http://seongchones.djsch.kr/main.do,,,자료없음,
307,대전광역시 중구,민간,기타,대전섹소폰학원,대전광역시 중구 보문로 298-1,042-383-6630,미운영,,,,
308,대전광역시 동구,민간,직업훈련시설,대전속기학원,대전광역시 동구 중앙로 193 3층,042-254-0425,http://www.djsokgi.co.kr/,,,,
309,대전광역시 유성구,공공,학교,대전송강중학교,대전광역시 유성구 와룡로 122 ,042-606-9000,http://songgangms.djsch.kr/main.do,,,자료없음,
310,대전광역시 유성구,공공,학교,대전송강초등학교,대전광역시 유성구 송강로42번길 6,042-934-7323,http://s-ganges.djsch.kr/main.do,,,자료없음,
311,대전광역시 유성구,공공,학교,대전송림초등학교,대전광역시 유성구 노은로410번길 123-14,042-824-3929,http://djsonglimes.djsch.kr/main.do,,,자료없음,
312,대전광역시 대덕구,공공,학교,대전송촌고등학교,대전광역시 대덕구 선비마을로23번길 11,042-620-5905,http://songchonhs.djsch.kr/main.do,,도메인주소 같음,자료없음,
313,대전광역시 대덕구,공공,학교,대전송촌중학교,대전광역시 대덕구 계족산로 110,042-627-4931,http://songchonms.djsch.kr/main.do,,,자료없음,
314,대전광역시 대덕구,공공,학교,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35,042-621-9042,http://djsces.djsch.kr/main.do,,,자료없음,
315,대전광역시 서구,공공,학교,대전수미초등학교,대전광역시 서구 괴곡길 42,042-581-5400,http://sumies.djsch.kr/main.do,,,자료없음,
316,대전광역시 유성구,공공,학교,대전수정초등학교,대전광역시 유성구 노은서로 62,042-828-5306,http://dsjes.djsch.kr/main.do,,,자료없음,
317,대전광역시 유성구,공공,복지관,대전시건강가정지원센터,대전광역시 유성구 테크노6로 40-17,042-252-9989,http://daejeon.familynet.or.kr/,,,o,
318,대전광역시 서구,공공,박물관 및 미술관,대전시립미술관,대전광역시 서구 둔산대로 155,042-270-7370,http://dmma.daejeon.go.kr/,,,o,
319,대전광역시 서구,공공,문화예술,대전시립연정국악원,대전광역시 서구 둔산대로 181,042-270-8500,http://www.koreamusic.go.kr/,,,o공연예술은아직,
320,대전광역시 중구,공공,국가 및 지자체,대전시민대학,대전광역시 중구 중앙로 101,042-250-2777,http://dcu.dile.or.kr/index.do,,변경 후-대전평생교육진흥원,안해도됨,
321,대전광역시 대덕구,민간,문화센터,대전시민문화센터,대전광역시 대덕구 송촌북로36번길 10 송촌컨벤션센터 103호,042-673-8673,http://djcenter.or.kr/,,,,
322,대전광역시 서구,민간,시민사회단체,대전시민아카데미,대전광역시 서구 둔산로 74번길 23 명성빌딩 2층,042-489-2130,http://tjca.or.kr/,,,,
323,대전광역시 서구,공공,학교,대전신계중학교,대전광역시 서구 복수동로 40-30,042-580-8000,http://singyems.djsch.kr/main.do,,도메인주소 같음,자료없음,
324,대전광역시 서구,공공,학교,대전신계초등학교,대전광역시 서구 복수동로 26,042-586-5869,http://djsingyees.djsch.kr/main.do,,,자료없음,
325,대전광역시 중구,공공,학교,대전신일여자고등학교,대전광역시 중구 부사로 48,042-221-1775,http://shinilhs.djsch.kr/main.do,,도메인주소 같음,자료없음,
326,대전광역시 중구,공공,학교,대전신일여자중학교,대전광역시 중구 부사로32번길 27,042-250-8520,http://shinilms.djsch.kr/main.do,,,자료없음,
327,대전광역시 중구,공공,학교,대전신평초등학교,대전광역시 중구 유등천동로 478,042-534-9715,http://sinpyunges.djsch.kr/main.do,,,자료없음,
328,대전광역시 대덕구,공공,도서관,대전신학대학교 도서관(학술정보관),대전광역시 대덕구 한남로 41,042-606-0120~1,http://lib.daejeon.ac.kr/,,,자료없음,
329,대전광역시 유성구,공공,도서관,침례신학대학교 도서관,대전광역시 유성구 북유성대로 190,042-828-3244~8,http://libweb.kbtus.ac.kr/,,,자료없음,
330,대전광역시 동구,공공,학교,대전신흥초등학교,대전광역시 동구 신흥초등길 21,042-280-5600,http://sinheunges.djsch.kr/main.do,,,자료없음,
331,대전광역시 서구,민간,기타,대전알리앙스프랑세스외국어학원,대전광역시 서구 계룡로 650,042-532-5254,http://www.afdaejeon.co.kr/,,,,
332,대전광역시 대덕구,공공,학교,대전양지초등학교,대전광역시 대덕구 쌍청당로 45,042-634-8762,http://yjes.djsch.kr/main.do,,,자료없음,
333,대전광역시 유성구,공공,학교,대전어은중학교,대전광역시 유성구 농대로 56,042-861-9764,http://eoeunms.djsch.kr/main.do,,,자료없음,
334,대전광역시 유성구,공공,학교,대전어은초등학교,대전광역시 유성구 농대로 46,042-879-0773,http://eoeunes.djsch.kr/main.do,,,자료없음,
335,대전광역시 중구,민간,여성관련시설,대전여민회,대전광역시 중구 동서대로1352번길 19,042-257-3534,http://www.tjwomen.or.kr/,,,,
336,대전광역시 동구,공공,학교,대전여자고등학교,대전광역시 동구 용운로1번길 28-37,042-630-5901,http://djghs.djsch.kr/main.do,,도메인주소 같음,자료없음,
337,대전광역시 중구,공공,학교,대전여자상업고등학교,대전광역시 중구 대종로550번길 31,042-254-4507,http://aramhs.djsch.kr/main.do,,,자료없음,
338,대전광역시 중구,공공,학교,대전여자중학교,대전광역시 중구 보문로230번길 69,042-253-4771,http://djgms.djsch.kr/main.do,,도메인주소 같음,자료없음,
339,대전광역시 유성구,공공,박물관 및 미술관,대전역사박물관,대전광역시 유성구 도안대로 398,042-270-8600~12,http://www.daejeon.go.kr/his/index.do,,대전시립박물관,현재샘플없음,
340,대전광역시 서구,민간,기타,대전연기학원,대전광역시 서구 계룡로491번길 28,042-537-6060,http://djacting.foredu.kr/,,,,
341,대전광역시 유성구,공공,학교,대전예술고등학교,대전광역시 유성구 월드컵대로308번길 33,042-825-2202,http://daejeonartshs.djsch.kr/main.do,,,자료없음,
342,대전광역시 서구,공공,학교,대전예지중고등학교,대전광역시 서구 도솔로 376,042-535-0736,http://yejihs.djsch.kr/main.do,,,자료없음,
343,대전광역시 중구,공공,학교,대전오류초등학교,대전광역시 중구 오류로 46,042-532-5069,http://djoryues.djsch.kr/main.do,,,자료없음,
344,대전광역시 중구,공공,학교,대전옥계초등학교,대전광역시 중구 모암로 35,042-272-2665,http://djokes.djsch.kr/main.do,,,자료없음,
345,대전광역시 중구,민간,여성관련시설,대전와이더블유씨에이(대전YWCA),대전광역시 중구 대흥로 128 ,042-254-3035~7,http://www.djywca.or.kr/,,,,
346,대전광역시 서구,민간,여성관련시설,대전와이더블유씨에이여성인력개발센터(대전YWCA여성인력개발센터),대전광역시 서구 계룡로 636,042-532-2735,http://www.djjob.or.kr/,,,,
347,대전광역시 서구,민간,시민사회단체,대전와이엠씨에이(대전YMCA),대전광역시 서구 둔산대로 117번길 30,042-472-3399,http://www.djymca.or.kr/newymca/new_2012_main.html,,,,
348,대전광역시 동구,민간,직업훈련시설,대전왕준련제과제빵학원,대전광역시 동구 대전천동로 546-1 2~4층,042-255-3995,http://www.kingcook.co.kr/,,,,
349,대전광역시 서구,공공,학교,대전외국어고등학교,대전광역시 서구 신갈마로 19,042-530-8000,http://djflhs.djsch.kr/main.do,,,자료없음,
350,대전광역시 유성구,공공,학교,대전외국인학교,대전광역시 유성구 용산2로 77,042-620-9000,http://www.tcis.or.kr/,,,자료없음,
351,대전광역시 유성구,공공,학교,대전외삼중학교,대전광역시 유성구 반석동로 75,042-824-6680,http://oesamms.djsch.kr/main.do,,,자료없음,
352,대전광역시 유성구,공공,학교,대전용산고등학교,대전광역시 유성구 용산2로 2-16,042-629-9201~9,http://dyshs.djsch.kr/main.do,,,자료없음,
353,대전광역시 유성구,공공,학교,대전용산초등학교,대전광역시 유성구 배울2로 101,042-934-8122,http://yongsanes.djsch.kr/main.do,,,자료없음,
354,대전광역시 동구,공공,학교,대전용운중학교,대전광역시 동구 용운로 208,042-284-6653~4,http://yongunms.djsch.kr/main.do,,,자료없음,
355,대전광역시 동구,공공,학교,대전용운초등학교,대전광역시 동구 용운로 204,042-284-0993,http://yoes.djsch.kr/main.do,,,자료없음,
356,대전광역시 대덕구,공공,학교,대전용전중학교,대전광역시 대덕구 한밭대로1146번길 46,042-620-1905,http://yjms.djsch.kr/main.do,,,자료없음,
357,대전광역시 동구,공공,학교,대전용전초등학교,대전광역시 동구 계족로505번길 49,042-622-6938,http://yongjeones.djsch.kr/main.do,,,자료없음,
358,대전광역시 대덕구,공공,학교,대전원명학교,대전광역시 대덕구 대화1길 2,"042-349-7721~2
042-349-7723~5",http://wonmyeongsc.djsch.kr/main.do,,,자료없음,
359,대전광역시 유성구,공공,학교,대전원신흥초등학교,대전광역시 유성구 원신흥로55번길 37,042-826-9813,http://wonsinhunges.djsch.kr/main.do,,,자료없음,
360,대전광역시 서구,공공,학교,대전원앙초등학교,대전광역시 서구 관저북로 97,042-544-8674,http://wonanges.djsch.kr/main.do,,,자료없음,
361,대전광역시 중구,공공,학교,대전원평초등학교,대전광역시 중구 계백로1615번길 46,042-522-5981,http://wonpyeonges.djsch.kr/main.do,,,자료없음,
362,대전광역시 서구,공공,학교,대전월평중학교,대전광역시 서구 월평동로 21 A동,042-600-7807,http://wpms.djsch.kr/main.do,,도메인주소 같음,자료없음,
363,대전광역시 서구,공공,학교,대전월평초등학교,대전광역시 서구 월평서로 22,042-483-3766,http://woalpyeonges.djsch.kr/main.do,,,자료없음,
364,대전광역시 서구,민간,기타,대전유니크연기학원,대전광역시 서구 대덕대로220번길 35 대덕빌딩 3층,042-528-1717,http://www.uniqueacting.com/,,,,
365,대전광역시 서구,공공,학교,대전유천초등학교,대전광역시 서구 제비네6길 69,042-522-4605,http://yuchones.djsch.kr/main.do,,,자료없음,
366,대전광역시 중구,공공,학교,대전유평초등학교,대전광역시 중구 수침로 123,042-530-0600~99,http://yupyunges.djsch.kr/main.do,,,자료없음,
367,대전광역시 동구,공공,학교,대전은어송중학교,대전광역시 동구 동구청로 26,042-281-5500,http://eesms.djsch.kr/main.do,,도메인주소 같음,자료없음,
368,대전광역시 동구,공공,학교,대전은어송초등학교,대전광역시 동구 대전로 396,042-286-0838,http://euneosonges.djsch.kr/main.do,,,자료없음,
369,대전광역시 중구,민간,직업훈련시설,대전음식나라 조리제과제빵학원,대전광역시 중구 중앙로 124,042-242-5600,http://www.educook.net/,,,,
370,대전광역시 대덕구,공공,학교,대전이문고등학교,대전광역시 대덕구 석봉로 15,042-930-0800,http://imunhs.djsch.kr/main.do,,,자료없음,
371,대전광역시 중구,공공,복지관,대전이주외국인종합복지관,대전광역시 중구 목척7길 6,042-631-6242,http://www.djmc.org/,,,자료없음,
372,대전광역시 중구,민간,직업훈련시설,대전인테리어필름디자인학원,대전광역시 중구 충무로 18,042-252-0306~7,http://daejeon.alltheway.kr/,,,,
373,대전광역시 동구,공공,학교,대전자양초등학교,대전광역시 동구 계족로 184-55,042-620-3800,http://jayanges.djsch.kr/main.do,,,자료없음,
374,대전광역시 유성구,공공,학교,대전자운중학교,대전광역시 유성구 자운로97번길 356,042-867-9370~1,http://jaunms.djsch.kr/main.do,,도메인주소 같음,자료없음,
375,대전광역시 유성구,공공,학교,대전자운초등학교,대전광역시 유성구 자운로97번길 380,042-862-6471,http://jaunes.djsch.kr/main.do,,,자료없음,
376,대전광역시 동구,민간,복지관,대전자혜원,대전광역시 동구 미래길 16?,042-672-8262,http://www.jahyewon.or.kr/,,,,
377,대전광역시 유성구,공공,학교,대전장대중학교,대전광역시 유성구 문화원로 26,042-824-6712~3,http://jangdaems.djsch.kr/main.do,,,자료없음,
378,대전광역시 유성구,공공,학교,대전장대초등학교,대전광역시 유성구 문화원로19번길 16,042-824-0492,http://djjdes.djsch.kr/main.do,,,자료없음,
379,대전광역시 서구,민간,교육산업,대전장애인평생교육문화센터,대전광역시 서구 둔산남로 98-17,042-486-2371,http://www.042je.or.kr/,,,,
380,대전광역시 유성구,공공,학교,대전전민고등학교,대전광역시 유성구 전민로 63,042-870-0100,http://jeonminhs.djsch.kr/main.do,,도메인주소 같음,자료없음,
381,대전광역시 유성구,공공,학교,대전전민중학교,대전광역시 유성구 엑스포로466번길 97,042-863-5797,http://djjmms.djsch.kr/main.do,,,자료없음,
382,대전광역시 유성구,공공,학교,대전전민초등학교,대전광역시 유성구 엑스포로466번길 42,042-864-5492,http://jeonmines.djsch.kr/main.do,,,자료없음,
383,대전광역시 유성구,공공,학교,대전전자디자인고등학교,대전광역시 유성구 대덕대로 939, 042-611-8307,http://djedhs.djsch.kr/main.do,,,자료없음,
384,대전광역시 동구,민간,기타,대전전자통신공과학원,대전광역시 동구 태전로 18,042-257-6521,http://daetong21.com/,,,,
385,대전광역시 중구,공공,도서관,대전점자도서관,대전광역시 중구 서문로 10 별관 1층,042-252-0055,http://cafe.daum.net/djdosg,,,자료없음,
386,대전광역시 서구,공공,학교,대전정림중학교,대전광역시 서구 괴곡길 70,042-586-8102,http://jeongrimms.djsch.kr/main.do,,도메인주소 같음,자료없음,
387,대전광역시 서구,공공,학교,대전정림초등학교,대전광역시 서구 정림로 32,042-585-0922,http://jeonglimes.djsch.kr/main.do,,,자료없음,
388,대전광역시 서구,공공,학교,대전제일고등학교,대전광역시 서구 배재로46번길 77,042-522-4023,http://jeilhs.djsch.kr/main.do,,,자료없음,
389,대전광역시 서구,민간,기타,대전제일고시학원,대전광역시 서구 둔산서로 31 대신빌딩 1층,042-477-8001,http://www.jeil21.com/,,,,
390,대전광역시 대덕구,공공,복지관,대전종합사회복지관,대전광역시 대덕구 우암동로15번길 20,042-627-2957~8,http://www.childfund-daejeon.or.kr/,,,교육자료없음,
391,대전광역시 중구,공공,다문화,대전중구다문화가족지원센터,대전광역시 중구 대흥로 128,042-335-4566,http://daejeonjunggu.liveinkorea.kr/,,,사이트이상,
392,대전광역시 중구,공공,문화예술,대전중구문화원,대전광역시 중구 대흥로 109,042-256-3684,http://www.djcc.or.kr/,,,o,
393,대전광역시 중구,공공,국가 및 지자체,중구 평생학습센터,대전광역시 중구 대흥로 109 종합문화복지관,"042-606-7417
042-606-6174",http://lll.djjunggu.go.kr/,,,o,
394,대전광역시 대덕구,공공,학교,대전중리초등학교,대전광역시 대덕구 중리북로 20, 042-621-9442,http://jungries.djsch.kr/main.do,,,자료없음,
395,대전광역시 중구,공공,학교,대전중앙고등학교,대전광역시 중구 대종로 634,"042-226-8408
042-253-4383",http://djjahs.djsch.kr/main.do,,,자료없음,
396,대전광역시 중구,공공,학교,대전중앙중학교,대전광역시 중구 대종로 634,042-253-4382,http://jungangms.djsch.kr/main.do,,,자료없음,
397,대전광역시 중구,공공,학교,대전중앙초등학교,대전광역시 중구 선화로43번길 99,042-221-0305,http://jaes.djsch.kr/main.do,,,자료없음,
398,대전광역시 대덕구,공공,학교,대전중원초등학교,대전광역시 대덕구 중리로64번길 45,042-717-7200,http://djjwes.djsch.kr/main.do,,,자료없음,
399,대전광역시 대덕구,민간,직업훈련시설,대전중장비학원,대전광역시 대덕구 대화로 69 4층,042-624-5554,http://www.djjjb.com/,,,,
400,대전광역시 중구,공공,학교,대전중촌초등학교,대전광역시 중구 대종로 684,042-256-6980,http://jungchones.djsch.kr/main.do,,,,
401,대전광역시 중구,공공,학교,대전중학교,대전광역시 중구 수도산로 9,042-250-7800,http://djms.djsch.kr/main.do,,,,
402,대전광역시 서구,민간,교육산업,대전지역사회교육협의회(KACE평생교육원),대전광역시 서구 갈마로 34 5층,042-489-8177,http://kace.or.kr/dj,,,,
403,대전광역시 중구,민간,직업훈련시설,대전지져스모델학원,대전광역시 중구 대종로 512 오성빌딩 5층,042-256-8999,http://cafe.naver.com/jjsmodels,,,,
404,대전광역시 유성구,공공,학교,대전지족고등학교,대전광역시 유성구 노은서로 202,042-717-1505~08,http://jijokhs.djsch.kr/main.do,,도메인주소 같음,,
405,대전광역시 유성구,공공,학교,대전지족중학교,대전광역시 유성구 노은동로 193,042-477-4630,http://jijokms.djsch.kr/main.do,,,,
406,대전광역시 유성구,공공,학교,대전지족초등학교,대전광역시 유성구 노은서로 238,042-824-3144,http://jijokes.djsch.kr/main.do,,,,
407,대전광역시 동구,공공,학교,대전천동초등학교,대전광역시 동구 천동초등동길 60,042-273-4039,http://chdes.djsch.kr/main.do,,,,
408,대전광역시 유성구,민간,청소년시설,대전청소년교육문화센터,대전광역시 유성구 유성대로 780 청영빌딩 6층,042-221-1516,http://cafe.daum.net/siminhakgyo,,,,
409,대전광역시 중구,공공,청소년시설,대전청소년수련마을,대전광역시 중구 방아미로 131,042-285-0350~1,http://www.djyouth.or.kr/,,,,
410,대전광역시 동구,공공,청소년시설,대전청소년위캔센터,대전광역시 동구 대전천동로 508?,042-222-0924~5,http://www.wecancenter.kr/,,,,
411,대전광역시 유성구,공공,학교,대전체육고등학교,대전광역시 유성구 원신흥로40번길 6,042-820-5208,http://djcheyukhs.djsch.kr/main.do,,,,
412,대전광역시 유성구,공공,학교,대전체육중학교,대전광역시 유성구 원신흥로40번길 6,042-820-5208,,,,,
413,대전광역시 대덕구,공공,학교,대전총신평생교육원,"대전광역시 대덕구 대전로1033번길 25?3,4층",042-634-8301,http://djcs.kr/,,,,
414,대전광역시 중구,민간,시민사회단체,대전충남녹색연합회,대전광역시 중구 중앙로122번길 17 대일빌딩 3층,042-253-3241,http://greendaejeon.org/,,,,
415,대전광역시 서구,민간,시민사회단체,대전충남민주언론시민연합,대전광역시 서구 둔산로74번길 31 송림빌딩 201호,042-472-0681,http://www.acro.or.kr/,,,,
416,대전광역시 중구,민간,시민사회단체,대전충남생명의숲,대전광역시 중구 중앙로121번길 44  창성빌딩 205호,042-226-5355,http://www.djforest.or.kr/,,,,
417,대전광역시 유성구,민간,시민사회단체,대전충남인권연대,"대전광역시 유성구 봉명동 536-9 홍인타워오피스텔 1201호
대전광역시 유성구 대학로 28 홍인타워오피스텔 1201호",042-345-1210,http://www.dchr.or.kr/,,,,
418,대전광역시 서구,공공,학교,대전탄방중학교,대전광역시 서구 문정로 181,042-471-5760,http://tbms.djsch.kr/main.do,,,,
419,대전광역시 서구,공공,학교,대전탄방초등학교,대전광역시 서구 탄방로 15,042-486-7602,http://tanbanges.djsch.kr/main.do,,,,
420,대전광역시 유성구,민간,사이버학습,대전탑평생교육원,대전광역시 유성구 대학로 86 포커스타운 6층,042-825-5273,미운영,,180122 폐쇄,,
421,대전광역시 중구,공공,학교,대전태평중학교,대전광역시 중구 수침로111번길 12,042-481-0860,http://tp02ms.djsch.kr/main.do,,,,
422,대전광역시 중구,공공,학교,대전태평초등학교,대전광역시 중구 유천로 117,042-527-7062,http://tpes.djsch.kr/main.do,,,,
423,대전광역시 동구,공공,학교,대전판암초등학교,대전광역시 동구 옥천로180번길 32,042-281-5200,http://panames.djsch.kr/main.do,,,,
424,대전광역시 중구,공공,국가 및 지자체,대전평생교육진흥원,대전광역시 중구 중앙로 101?,042-250-2700,http://www.dile.or.kr/,,,,
425,대전광역시 중구,공공,국가 및 지자체,대전평생학습관,대전광역시 중구 중교로 56,042-220-0510,http://www.dllc.or.kr/,,,,
426,대전광역시 중구,민간,기타,대전풀뿌리시민센터(풀뿌리사람들),대전광역시 중구 대흥로10번길 9,042-223-9924,http://pool.or.kr/,,,,
427,대전광역시 중구,민간,문화센터,대전풀잎문화센터,대전광역시 중구 중앙로 136-1 3층,042-254-7142,http://daejeon.pulib.com/,,,,
428,대전광역시 유성구,공공,학교,대전하기중학교,대전광역시 유성구 송림로48번길 6-30,042-824-8364,http://hagims.djsch.kr/main.do,,도메인주소 같음,,
429,대전광역시 유성구,공공,학교,대전하기초등학교,대전광역시 유성구 송림로19번길 32,042-824-8094,http://hagies.djsch.kr/main.do,,,,
430,대전광역시 중구,공공,문화예술,대전학생교육문화원,대전광역시 중구 동서대로 1360,042-229-1470,http://www.djsecc.or.kr/,,,,
431,대전광역시 서구,민간,기타,대전한국문화센터 공예학원,대전광역시 서구 도산로 145 2층,042-544-0010,미운영,,180122 폐쇄,,
432,대전광역시 동구,공공,학교,대전한밭여자중학교,대전광역시 동구 동대전로110번길 74-57,042-623-2372,http://hanbat-gms.djsch.kr/main.do,,,,
433,대전광역시 중구,공공,학교,대전한빛고등학교,대전광역시 중구 대둔산로 119-37,042-581-0403~4,http://hanviths.djsch.kr/main.do,,,,
434,대전광역시 서구,민간,교육산업,대전한빛평생교육원,대전광역시 서구 동서대로 1012 3층,042-523-8855,http://cafe.naver.com/ibrainedu,,,,
435,대전광역시 동구,공공,학교,대전현암초등학교,대전광역시 동구 현암로 19,042-623-3071,http://hyeonames.djsch.kr/main.do,,,,
436,대전광역시 동구,공공,학교,대전혜광학교,대전광역시 동구 은어송로 111,042-280-0133,http://hyekwangsc.djsch.kr/main.do,,,,
437,대전광역시 대덕구,공공,학교,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20,042-627-6175,http://hjes.djsch.kr/main.do,,,,
438,대전광역시 서구,민간,시민사회단체,대전환경운동연합,대전광역시 서구 둔산로74번길 29 하나빌딩 3층,042-331-3700~2,http://daejeon.ekfem.or.kr/,,,,
439,대전광역시 동구,공공,학교,대전흥룡초등학교,대전광역시 동구 동대전로256번길 21,042-623-2645,http://heungryonges.djsch.kr/main.do,,,,
440,대전광역시 동구,민간,시민사회단체,대전흥사단,대전광역시 동구 우암로277번길 84,042-623-3676,http://www.tjyka.or.kr/,,,,
